帕克索尔语词汇,IPA音标,TTS友好发音拼写
söder,/ˈsøːdɛr/,suh-der
öster,/ˈœstɛr/,uh-ster
väster,/ˈvɛstɛr/,ves-ter
nordost,/ˈnuːrdˌɔst/,nuhrd-ost
nordväst,/ˈnuːrdˌvɛst/,nuhrd-ves
sydost,/ˈsyːdˌɔst/,syud-ost
sydväst,/ˈsyːdˌvɛst/,syud-ves
centrum,/ˈsɛnːtrɵm/,sen-truhm
kant,/kanːt/,kaant
inre,/ˈɪnːrɛ/,in-reh
yttre,/ˈʏtːrɛ/,yht-reh
ovan,/ˈuːvɑn/,oo-van
under,/ˈɵnːdɛr/,uhn-der
framför,/ˈframˌføːr/,fram-fuhr
bakom,/bɑˈkuːm/,bah-koom
vänster,/ˈvɛnːstɛr/,ven-ster
höger,/ˈhøːjɛr/,huh-yer
mitten,/ˈmɪtːɛn/,mit-ten
omkring,/ɔmˈkrɪŋ/,om-kring
nära,/ˈnæːrɑ/,nay-rah
långt borta,/ˈloːŋt ˈbɔrːtɑ/,longt bor-tah
över,/ˈøːvɛr/,uh-ver
hörn,/hœrn/,hurn
gräns,/jræːns/,yrians
kustlinje,/ˈkɵstˌlɪnːjɛ/,kuhst-lin-yeh
sjö,/ɕøː/,shuh
ö,/øː/,uh
halvö,/ˈhalːvøː/,hal-vuh
kontinent,/kɔnˈtɪnːɛnt/,kon-tin-ent
värld,/værːld/,vairld
universum,/ɵnivɛrˈsuːm/,uh-nee-ver-soom
planet,/plaˈneːt/,plah-nayt
stjärna,/ˈɧæːɳɑ/,shyair-nah
galax,/jaˈlaks/,yah-laks
svart hål,/ˈsvɑːrt hoːl/,svaart hohl
förfluten tid,/ˈfœrˌfluːtɛn tiːd/,fuhr-floot-en teed
nutid,/ˈnuːtiːd/,noo-teed
framtid,/ˈframtiːd/,fram-teed
evighet,/eˈviːjeːt/,eh-vee-yayt
ögonblick,/ˈøːjuːnˌblik/,uh-yoon-blik
stund,/stɵnːd/,stuhnd
period,/peˈriːɔd/,peh-ree-od
decennium,/dɛˈsɛnɪˌɵm/,deh-seh-nee-uhm
sekel,/ˈseːkɛl/,say-kel
millennium,/mɪˈlɛnɪˌɵm/,mih-len-ee-uhm
historia,/hɪstoˈriːɑ/,his-toh-ree-ah
förhistoria,/fœrhɪstoˈriːɑ/,fuhr-his-toh-ree-ah
antiken,/anˈtiːkɛn/,an-teek-en
medeltiden,/ˈmeːdɛlˌtiːdɛn/,may-del-tee-den
nyare tid,/ˈnyːɑrɛ tiːd/,nyuh-ah-reh teed
modern tid,/mɔˈdɛrn tiːd/,moh-dern teed
nutid,/ˈnuːtiːd/,noo-teed
framtid,/ˈframtiːd/,fram-teed
arkeologi,/arkɛʊˈloːji/,ar-keh-oh-loh-yee
antropologi,/antroʊpɔˈloːji/,an-troh-poh-loh-yee
sociologi,/sɔsiɔˈloːji/,soh-see-oh-loh-yee
psykologi,/psykɔˈloːji/,psy-koh-loh-yee
filosofi,/fɪlɔˈsoːfi/,fi-loh-soh-fee
etik,/ˈeːtɪk/,ay-tik
logik,/ˈluːjɪk/,loo-yik
matematik,/mateˈmaːtɪk/,mah-teh-maa-tik
geometri,/jeʊˈmeːtrɪ/,yuh-may-tri
algebra,/alˈjeːbrɑ/,al-yay-brah
kalkyl,/ˈkalːsyːl/,kal-syuul
statistik,/statiˈstiːk/,stah-tee-steek
fysik,/ˈfyːsɪk/,fyu-sik
kemi,/ˈɕeːmi/,shay-mi
biologi,/bɪʊˈloːji/,bee-oh-loh-yee
anatomi,/anatoˈmiː/,ah-nah-toh-mee
fysiologi,/fysɪʊˈloːji/,fyu-see-oh-loh-yee
genetik,/jeˈneːtɪk/,yeh-nay-tik
ekologi,/ekoˈloːji/,eh-koh-loh-yee
astronomi,/astrɔˈnoːmi/,as-troh-noh-mi
geografi,/jeʊˈgrɑːfi/,yuh-graa-fi
geologi,/jeʊˈloːji/,yuh-loh-yee
meteorologi,/meːtɛʊrɔˈloːji/,may-teh-oh-roh-loh-yee
oceanografi,/oːceanɔˈgrɑːfi/,oh-seh-ah-noh-graa-fi
medicin,/meːdɪˈsiːn/,may-dee-seen
kirurgi,/kɪˈryːrji/,kee-ryuhr-yee
pediatrik,/peːdɪaˈtriːk/,pay-dee-ah-treek
gynekologi,/jʏnekoˈloːji/,yuh-neh-koh-loh-yee
oftalmologi,/ɔftalmoˈloːji/,of-tal-moh-loh-yee
otorhinolaryngologi,/oːtoʊraɪnoʊlərɪŋˈɡɒlədʒi/,oh-toh-rye-noh-luh-rin-gol-uh-jee
odontologi,/odoʊnˈtɒlədʒi/,oh-don-tol-uh-jee
psykiatri,/psykɪaˈtriː/,psy-kee-ah-tree
neurologi,/neʊˈrɒlədʒi/,nyuh-rol-uh-jee
kardiologi,/kɑːrdɪəˈlɒdʒi/,kar-dee-oh-lol-uh-jee
onkologi,/ɔŋˈkɒlədʒi/,ong-kol-uh-jee
immunologi,/ɪmjuːnəˈlɒdʒi/,im-yuh-nuh-lol-uh-jee
virologi,/vaɪrəˈlɒdʒi/,vy-ruh-lol-uh-jee
bakteriologi,/bækˌtɪəriəˈlɒdʒi/,bak-tee-ree-uh-lol-uh-jee
parasitologi,/ˌpærəsɪˈtɒlədʒi/,pair-uh-sih-tol-uh-jee
farmakologi,/ˌfɑːrməˈkɒlədʒi/,far-muh-kol-uh-jee
toxikologi,/ˌtɒksɪkəˈlɒdʒi/,tok-sih-kuh-lol-uh-jee
nutrition,/njuːtrɪˈʃən/,nyoo-trih-shun
idrottsvetenskap,/ˈiːdrɔtˌveːtɛnˌskɑːp/,ee-drot-vay-ten-skaap
rehabilitering,/rehaˌbiːlɪteˈrɪŋ/,reh-hah-bee-lee-teh-ring
sjuksköterska,/ˈɧʉːkˌɧøːtɛrˌskɑː/,shuhk-shuht-er-skah
barnmorska,/ˈbɑːrnˌmɔrːskɑ/,baarn-moorsk-ah
sjukgymnastik,/ˈɧʉːkˌjʏmˈnɑːstɪk/,shuhk-yuhm-naas-tik
arbetsterapi,/ˈarːbɛtˌsteˈrɑːpi/,aar-bets-teh-raa-pee
lingvistik,/lɪŋˈɡwɪstɪk/,ling-gwis-tik
fonetik,/fɔˈneːtɪk/,foh-nay-tik
fonologi,/fɔnɔˈloːji/,foh-noh-loh-yee
morfologi,/mɔrfɔˈloːji/,mor-foh-loh-yee
syntax,/ˈsɪntaks/,sin-taks
semantik,/seˈmantɪk/,seh-man-tik
pragmatik,/praɣˈmatɪk/,prahg-mah-tik
lexikologi,/lɛksɪkɔˈloːji/,lek-sih-koh-loh-yee
etymologi,/etɪmɔˈloːji/,eh-tih-moh-loh-yee
dialektologi,/dɪəˌlɛkˈtɒlədʒi/,dee-uh-lek-tol-uh-jee
sociolingvistik,/ˌsoʊsioʊlɪŋˈɡwɪstɪk/,soh-see-oh-ling-gwis-tik
psykolingvistik,/ˌsaɪkoʊlɪŋˈɡwɪstɪk/,sy-ko-ling-gwis-tik
neurolingvistik,/ˌnʊroʊlɪŋˈɡwɪstɪk/,nuh-ro-ling-gwis-tik
datorlingvistik,/dɑːtɔrlɪŋˈɡwɪstɪk/,daa-tor-ling-gwis-tik
översättning,/øːvɛrˈsɛtːnɪŋ/,uh-ver-set-ning
tolkning,/ˈtɔlːknɪŋ/,tolk-ning
litteratur,/lɪtɛrɑˈtuːr/,lih-teh-rah-tuur
poesi,/poˈeːsi/,poh-ay-see
roman,/ruˈmaːn/,roo-maan
drama,/ˈdrɑːmɑ/,draa-mah
prosa,/ˈproːsɑ/,proh-sah
mytologi,/mʏtɔˈloːji/,myuh-toh-loh-yee
saga,/ˈsɑːjɑ/,saay-ah
folktale,/ˈfɔlktɑːl/,folk-taal
fabel,/ˈfɑːbɛl/,faa-bel
sagoberättelse,/ˈsɑːjuˌbeˈrɛtːɛlˌsɛ/,saay-yuh-beh-ret-el-seh
epos,/ˈeːpuːs/,ay-poos
tragedi,/traˈjeːdɪ/,trah-yay-dee
komedi,/kɔˈmeːdɪ/,koh-may-dee
satir,/saˈtiːr/,sah-teer
romantik,/rɔˈmanːtɪk/,roh-man-tik
realism,/reˈaːlɪsm/,reh-aal-ism
naturalism,/nɑːtʊrɑˈlɪsm/,nah-too-rah-lism
symbolism,/sʏmˈbuːlɪsm/,sym-bool-ism
expressionism,/ɛkspresjɔˈnɪsm/,ek-spreh-syo-nism
surrealism,/sɵrreˈaːlɪsm/,sur-reh-aal-ism
modernism,/mɔˈdɛrnɪsm/,moh-dern-ism
postmodernism,/pɔstmɔˈdɛrnɪsm/,post-moh-dern-ism
konst,/kɔnst/,konst
målning,/ˈmɔːlnɪŋ/,mohl-ning
skulptur,/skɵlˈpyːr/,skuhl-pyuhr
fotografi,/fʊtɔˈgrɑːfi/,foo-toh-graa-fi
grafik,/ˈgrɑːfɪk/,graaf-ik
arkitektur,/arkɪtekˈtuːr/,ar-kih-tek-tuur
design,/dɪˈzaɪn/,dee-zine
mode,/ˈmuːdɛ/,moo-deh
musik,/ˈmyːsɪk/,myuu-sik
sång,/sɔŋ/,song
instrumentalmusik,/ˈɪnstrʊˌmɛntɑlˌmyːsɪk/,in-stroo-men-tal-myuu-sik
symfoni,/sʏmˈfuːni/,sym-foon-ee
konsert,/kɔnˈsɛrt/,kon-sert
sonat,/sʊˈnɑːt/,soo-naat
kammarmusik,/ˈkamːɑrˌmyːsɪk/,kam-mar-myuu-sik
opera,/ˈuːpɛrɑ/,oo-peh-rah
balett,/bɑˈlɛt/,bah-let
dans,/dɑːns/,daans
teater,/teˈɑːtɛr/,teh-aah-ter
film,/fɪlm/,film
television,/ˈtɛlɪˌvɪʒən/,teh-lee-vih-zhun
radio,/ˈrɑːdɪˌʊ/,raa-dee-oh
nya medier,/ˈnyːɑ ˈmeːdɪɛr/,nyuh-ah may-dee-ehr
digital konst,/ˈdɪdʒɪtɑːl kɔnst/,dih-jih-taal konst
interaktiv konst,/ˈɪntɛrˌaktiːv kɔnst/,in-ter-ak-teev konst
performans,/pɛrfɔrˈmɑːns/,per-for-maans
installation,/ɪnstɑːlɑˈɧuːn/,in-staah-lah-shuuhn
konceptuell konst,/kɔnˈsɛptʏˌɛl kɔnst/,kon-sep-tuh-yel konst
minimalism,/mɪˈnɪmɑːlɪsm/,mih-nih-maa-lism
abstrakt konst,/abˈstrakːt kɔnst/,ab-strakt konst
figurativ konst,/fɪjʊrɑˈtiːv kɔnst/,fih-yuh-raa-teev konst
klassisk konst,/ˈklasːɪsk kɔnst/,klas-isk konst
modern konst,/mɔˈdɛrn kɔnst/,moh-dern konst
nutida konst,/ˈnuːˌtiːdɑ kɔnst/,noo-tee-dah konst
religion,/reˈliːdʒɔn/,reh-lee-jon
tro,/truː/,troo
gud,/guːd/,good
Gud,/guːd/,Good
gudinna,/gɵˈdɪnːɑ/,gud-in-nah
ängel,/ˈɛŋːɛl/,eng-el
djävul,/ˈjæːvɵl/,yay-vuhl
själ,/ɕɛːl/,shayl
anda,/ˈanːdɑ/,aan-dah
livet efter döden,/ˈliːvɛt ˈɛfːtɛr ˈdøːdɛn/,leev-et ef-ter duh-den
himmel,/ˈhɪmːɛl/,him-mel
helvete,/hɛlˈveːtɛ/,hel-vay-teh
skärselden,/ˈɕærːˌsɛlːdɛn/,shair-sel-den
karma,/ˈkɑːrmɑ/,kaar-mah
nirvana,/nɪrˈvɑːnɑ/,nir-vaa-nah
upplysning,/ˈɵplyːsnɪŋ/,uh-lyuhs-ning
förlossning,/fœrˈlɔsːnɪŋ/,fuhr-los-ning
synd,/sʏnːd/,synnd
dygd,/dyːjd/,dyuhd
moral,/mʊˈrɑːl/,muh-raal
etik,/ˈeːtɪk/,ay-tik
ritual,/rɪˈtuːɑːl/,rih-too-aal
offer,/ˈɔfːɛr/,of-fer
bön,/bøːn/,buhn
meditation,/meːdɪtɑˈɧuːn/,may-dee-tah-shuuhn
gudstjänst,/ˈguːdstjɛːnst/,good-styaynst
kyrka,/ˈɕʏrːkɑ/,shyur-kah
tempel,/ˈtɛmpɛl/,tem-pel
moské,/mɔsˈkeː/,mos-kay
kloster,/ˈkluːstɛr/,kloos-ter
munk,/mɵŋk/,muhnk
nunna,/ˈnɵnːɑ/,nuhn-nah
präst,/prɛst/,prest
rabbin,/raˈbiːn/,rah-been
imam,/iˈmɑːm/,ih-maam
shaman,/ˈʃɑːmɑn/,shaam-an
trollkarl,/ˈtrɔlːˌkɑːrl/,trol-karl
häxa,/ˈhɛːksɑ/,hayk-sah
profet,/prʊˈfeːt/,proo-fayt
helgon,/ˈhɛlːjuːn/,hell-yoon
martyr,/marˈtyːr/,mar-teer
troende,/ˈtruːɛndɛ/,troo-en-deh
hedning,/ˈheːdnɪŋ/,hayd-ning
ateist,/aˈteːɪst/,ah-tay-ist
agnostiker,/aɡˈnɔstɪkɛr/,ag-nos-ti-ker
polyteism,/pɔlʏˈteːɪsm/,poh-lyuh-tay-ism
monoteism,/mɔnʊˈteːɪsm/,mon-uh-tay-ism
pantheism,/pɑːnˈteːɪsm/,paan-tay-ism
deism,/ˈdeːɪsm/,day-ism
humanism,/hɵˈmɑːnɪsm/,huh-maa-nism
sekularism,/ˈseːkɵˌlɑːrɪsm/,say-kuh-laar-ism
mysticism,/mʏsˈtɪsɪsm/,mys-tih-sism
spiritualitet,/spɪrɪtʊaˈliːtɛt/,spir-ih-too-ah-lee-tet
politik,/pɔˈliːtɪk/,poh-lee-tik
regering,/reˈjeːrɪŋ/,reh-yay-ring
nation,/nɑˈɧuːn/,nah-shuuhn
suveränitet,/sɵvɛræˈniːtɛt/,suh-ver-ay-nee-tet
demokrati,/deːmʊkraˈtiː/,day-muh-krah-tee
despotism,/dɛsˈpuːtɪsm/,des-poo-tism
diktatur,/dɪkˈtɑːtuːr/,dik-taa-tuur
monarki,/mʊˈnɑːrki/,muh-naar-ki
republik,/rɛpɵˈbliːk/,reh-puh-bleek
federalism,/feːdɛrɑˈlɪsm/,fay-deh-rah-lism
konfederalism,/kɔnfɛdɛrɑˈlɪsm/,kon-feh-deh-rah-lism
parlamentarism,/parlameŋtaˈriːsm/,par-lah-men-tah-reesm
presidentialism,/presɪdɛnˈɧɑːlɪsm/,preh-sih-den-shaal-ism
grundlag,/ˈgrɵnːdˌlɑːj/,gruhnd-laay
lag,/lɑːj/,laay
juridik,/jɵˈriːdɪk/,yuh-ree-dik
domstol,/ˈdɔmːstuːl/,dom-stool
domare,/ˈduːmɑrɛ/,doo-mah-reh
advokat,/advʊˈkɑːt/,ad-vuh-kaat
åklagare,/ˈoːklɑːjɑrɛ/,ohk-laay-ah-reh
polis,/pʊˈliːs/,poo-lees
armé,/arˈmeː/,ar-may
flotta,/ˈflɔtːɑ/,floth-tah
flygvapen,/ˈflyːjˌvɑːpɛn/,flyuh-vaa-pen
försvar,/ˈfœrːsvɑːr/,fuhrs-vaar
diplomati,/dɪplʊmaˈtiː/,dih-ploo-mah-tee
ambassadör,/ambasɑˈdøːr/,am-bah-sah-duhr
konsul,/kɔnˈsuːl/,kon-sool
FN,/ef ˈeːn/,ef ayn
EU,/eː ˈʉː/,ay uh
NATO,/ˈneːtu/,nay-too
Warszawapakten,/ˈvarʂavˌpakːtɛn/,var-shah-vah-pak-ten
icke-alliansrörelsen,/ˈɪkːɛ alːɪˈɑːnsˌrøːrɛlsɛn/,ik-eh aal-lee-aans-ruh-rel-sen
globalisering,/gluːbaliˈseːrɪŋ/,gloo-bah-lee-say-ring
internationalisering,/ɪnternationaliˈseːrɪŋ/,in-ter-na-shuh-na-lee-say-ring
lokalisering,/lukaliˈseːrɪŋ/,loo-kah-lee-say-ring
nationalism,/naˈɧuːnɑlɪsm/,nah-shuuhn-ah-lism
patriotism,/patriʊˈtɪsm/,pah-tree-uh-tism
internationalism,/ɪnternationalɪˈsm/,in-ter-na-shuh-na-lism
kosmopolitism,/kɔsmupoliˈtɪsm/,kos-moh-poh-lee-tism
isolationism,/aɪsəˈleɪʃənɪsm/,eye-suh-lay-shun-ism
protektionism,/prʊtekˈɧuːnɪsm/,pruh-tek-shuuhn-ism
frihandel,/ˈfriːˌhanːdɛl/,free-han-del
ekonomi,/eːkʊˈnuːmi/,ay-kuh-noo-mee
mikroekonomi,/ˈmɪkrʊʊˌeːkʊnuːmi/,mih-kroo-ay-kuh-noo-mee
makroekonomi,/ˈmakrʊʊˌeːkʊnuːmi/,mak-roo-ay-kuh-noo-mee
nationalekonomi,/naˈɧuːnɑleːkʊˌnuːmi/,nah-shuuhn-ah-lay-kuh-noo-mee
finans,/fɪˈnɑːns/,fih-naans
bankväsen,/ˈbaŋkˌvæːsɛn/,bangk-vay-sen
bank,/baŋk/,bangk
valuta,/vɑˈluːtɑ/,vah-loo-tah
växelkurs,/ˈvɛkːsɛlˌkɵrs/,vek-sel-kuhrs
inflation,/ɪnflaˈɧuːn/,in-flah-shuuhn
deflation,/deflaˈɧuːn/,deh-flah-shuuhn
depression,/dɛprɛˈɧuːn/,deh-preh-shuuhn
recession,/rɛˈsɛːʃɔn/,reh-say-shon
boom,/buːm/,boom
tillväxt,/ˈtɪlːˌvɛkst/,til-vekst
utveckling,/ɵtˈvɛkːlɪŋ/,uh-tek-ling
fattigdom,/ˈfatːɪjˌduːm/,fat-ij-doom
rikedom,/ˈriːkɛˌduːm/,reek-eh-doom
förmögenhet,/fœrˈmøːjɛnˌheːt/,fuhr-muh-yen-hayt
inkomst,/ˈɪŋkɔmst/,ing-komst
utgift,/ˈɵtˌjɪft/,uht-jift
sparande,/ˈspɑːrˌɑnːdɛ/,spaar-aan-deh
investering,/ɪnvɛsˈteːrɪŋ/,in-ves-tay-ring
konsumtion,/kɔnsɵmˈɧuːn/,kon-sum-shuuhn
produktion,/prɔdɵkˈɧuːn/,proh-duk-shuuhn
distribution,/dɪstrɪbɵˈɧuːn/,dis-trih-buh-shuuhn
utbyte,/ˈɵtˌbyːtɛ/,uht-byuhte
efterfrågan och utbud,/ˈɛfːtɛrˌfrɔːɡɑn ɔk ˈɵtˌbuːd/,ef-ter-froh-gan ok uht-boo-d
pris,/priːs/,prees
värde,/ˈværːdɛ/,vair-deh
nytta,/ˈnʏtːɑ/,nyht-tah
kostnad,/ˈkɔsːtnɑːd/,kos-naad
vinst,/vɪnst/,vinst
förlust,/ˈfœrːlɵst/,fuhr-luhst
kapital,/kapiˈtɑːl/,kah-pee-taal
arbete,/ˈarːbɛtɛ/,aar-beh-teh
jord,/juːrd/,yurd
entreprenör,/ɑntrɛprɛˈnør/,an-treh-preh-nuhr
företag,/ˈføːrɛˌtɑːj/,fuhr-eh-taay
aktie,/ˈakːtiɛ/,ak-tee-eh
obligation,/ɔblɪjaˈɧuːn/,ob-lih-yah-shuuhn
aktiemarknad,/ˈakːtiɛˌmarknɑːd/,ak-tee-eh-mark-naad
varumarknad,/ˈvɑːruˌmarknɑːd/,vaa-roo-mark-naad
arbetsmarknad,/ˈarːbɛtsˌmarknɑːd/,aar-bets-mark-naad
fastighetsmarknad,/ˈfastɪjɛtsˌmarknɑːd/,fas-tih-yets-mark-naad
försäkring,/fœrˈɕɛːkrɪŋ/,fuhr-shayk-ring
skatt,/skat/,skat
budget,/byˈdʒɛt/,byuh-jet
underskott,/ˈɵnːdɛrˌʃɔt/,uhn-der-shot
överskott,/ˈøːvɛrˌʃɔt/,uh-ver-shot
skuld,/skɵld/,shuld
fordran,/ˈfuːrdraːn/,food-raan
tillgång,/ˈtɪlːˌgoːŋ/,til-gong
balans,/bɑˈlɑːns/,bah-laans
bokföring,/ˈbuːkˌføːrɪŋ/,book-fuhr-ing
revision,/reviˈɧuːn/,reh-vee-shuuhn
ledning,/ˈleːdnɪŋ/,layd-ning
organisation,/ɔrjanɪsaˈɧuːn/,or-yah-nee-sah-shuuhn
planering,/plɑˈneːrɪŋ/,plah-nay-ring
kontroll,/kɔnˈtrɔl/,kon-trol
samordning,/sɑˈmuːɖnɪŋ/,sah-moord-ning
kommunikation,/kɔmynikɑˈɧuːn/,koh-myuh-nee-kah-shuuhn
ledarskap,/ˈleːdɑrˌskɑːp/,lay-dar-skaap
teamwork,/ˈtiːmwɜːrk/,teem-wurk
effektivitet,/ɛfektiviˈteːt/,eh-fek-tee-vee-tayt
produktivitet,/prɔdɵktiviˈteːt/,proh-dukt-ee-vee-tayt
kvalitet,/kvɑliˈteːt/,kvah-lee-tayt
innovation,/ɪnʊvaˈɧuːn/,ih-nuh-vah-shuuhn
förändring,/fœˈrɛnːdrɪŋ/,fuhr-en-dring
anpassning,/anˈpasːnɪŋ/,an-pas-ning
inlärning,/ˈɪnːˌlærːnɪŋ/,in-lair-ning
kunskap,/ˈkɵnːskɑːp/,kuhn-skaap
information,/ɪnfɔrmaˈɧuːn/,in-for-mah-shuuhn
data,/ˈdɑːtɑ/,daa-tah
visdom,/ˈviːsˌdɔm/,vees-dom
förståelse,/fœrˈstɔːlˌsɛ/,fuhr-stohl-seh
insikt,/ˈɪnːsɪkːt/,in-sik-t
intuition,/ɪntʏɪˈɧuːn/,in-tuh-ee-shuuhn
rationalitet,/ratɕʊnaliˈteːt/,rah-chuh-na-lee-tayt
känslor,/ˈɕɛnːslu/,shen-slu
emotioner,/emoˈɧuːnɛr/,eh-moh-shuuhn-ehr
sinnesstämning,/ˈsɪnːɛsˌstɛmːnɪŋ/,sin-es-stemm-ning
humör,/hyˈmøːr/,hyuh-muhr
attityd,/atˈtiːyːd/,at-tee-yud
värderingar,/ˈværːdɛˌrɪŋɑr/,vair-deh-ring-aahr
övertygelse,/øːvɛrˈtyːjɛlsɛ/,uh-ver-tyuh-yel-seh
fördom,/ˈføːrduːm/,fuhr-doom
stereotyp,/stɛrɛʊˈtiːp/,steh-reh-oh-teep
diskriminering,/dɪskrɪmɪneˈrɪŋ/,dis-krih-mih-neh-ring
jämlikhet,/ˈjɛmːlɪkheːt/,yemm-lik-hayt
rättvisa,/ˈrɛtːˌviːsɑ/,ret-vee-sah
rättvisa,/ˈrɛtːˌviːsɑ/,ret-vee-sah
inkludering,/ɪnklʏdeˈrɪŋ/,in-klyuh-deh-ring
mångfald,/ˈmɔŋːfɑːld/,mong-faald
identitet,/ɪdɛnˈtiːtɛt/,ih-den-tee-tet
jaget,/ˈjɑːjɛt/,yaay-et
personlighet,/pɛrsɔnliˈheːt/,per-son-lee-hayt
karaktär,/kaˈrakːtær/,kah-rak-tair
temperament,/tɛmpɛraˈmɛnt/,tem-peh-rah-ment
förmåga,/ˈfœrˌmoːɑ/,fuhr-moh-ah
färdighet,/ˈfærːdɪheːt/,fair-dih-hayt
begåvning,/bɛˈgoːvnɪŋ/,beh-gohv-ning
talang,/taˈlaŋ/,tah-lang
potential,/pʊtɛnˈɧɑːl/,poo-ten-shaal
begränsning,/bɛˈjrɛːnsnɪŋ/,beh-yrihns-ning
hinder,/ˈhɪnːdɛr/,hin-der
utmaning,/ɵtˈmɑːnɪŋ/,uh-tmaa-ning
möjlighet,/ˈmœjːlɪkeːt/,muh-y-lih-kayt
risk,/rɪsk/,risk
osäkerhet,/ɔˈsɛːkɛrheːt/,oh-say-ker-hayt
sannolikhet,/sanoˈliːkheːt/,sah-noh-lee-khayt
nödvändighet,/nøːvɛnˈdɪkeːt/,nuhv-en-dih-kayt
slump,/slɵmp/,sluhmp
 öde,/ˈøːdɛ/,uh-deh
fri vilja,/friː ˈvɪlːjɑ/,free vil-yah
determinism,/detɛrmiˈnɪsm/,deh-ter-mih-nism
existens,/ɛkˈsɪstɛns/,ek-sis-tens
väsen,/ˈvæːsɛn/,vay-sen
fenomen,/fenɔˈmeːn/,feh-noh-mayn
verklighet,/vɛrˈkliːheːt/,vehr-klee-hayt
sanning,/ˈsanːɪŋ/,san-neeng
felslut,/ˈfɛlːslɵt/,fell-slut
resonemang,/rɛsʊneˈmɑːŋ/,reh-soo-neh-maang
argumentation,/arjymɛntɑˈɧuːn/,ar-yuh-men-tah-shuuhn
bevis,/ˈbeːviːs/,bay-vees
hypotes,/hʏˈpuːtɛs/,hyuh-poo-tes
teori,/teˈuːri/,teh-oo-ree
modell,/muˈdɛl/,moo-del
paradigm,/paradɪˈjm/,pah-rah-deejm
vetenskap,/ˈveːtɛnˌskɑːp/,vay-ten-skaap
forskning,/ˈfuːʂknɪŋ/,fooshk-ning
experiment,/ɛkspɛriˈmɛnt/,ek-speh-ree-ment
observation,/ɔbsɛrvaˈɧuːn/,ob-ser-vah-shuuhn
mätning,/ˈmɛːtnɪŋ/,mayt-ning
analys,/anaˈlyːs/,ah-nah-luys
syntes,/sʏnˈteːs/,syn-tay-s
tolkning,/ˈtɔlːknɪŋ/,tolk-ning
prediktion,/predɪkˈɧuːn/,preh-dik-shuuhn
verifikation,/vɛrɪfɪkaˈɧuːn/,veh-rih-fee-kah-shuuhn
falsifiering,/falsɪfɪˈseːrɪŋ/,fal-sih-fee-say-ring
reproducerbarhet,/reprɔdɵseˈraːbɛrheːt/,reh-proh-doo-seh-raa-ber-hayt
objektivitet,/ɔbjɛktiviˈteːt/,ob-yek-tee-vee-tayt
subjektivitet,/sɵbjɛktiviˈteːt/,suh-byek-tee-vee-tayt
relativitet,/rɛlatɪviˈteːt/,reh-lah-tee-vee-tayt
absolut,/abˈsuːluːt/,ab-soo-loot
universalitet,/ɵnivɛrsaliˈteːt/,uh-nee-ver-sah-lee-tayt
partikularitet,/pɑrtɪkʊlariˈteːt/,par-tih-koo-lah-ree-tayt
helhet,/ˈheːlheːt/,hayl-hayt
del,/deːl/,dayl
system,/sʏsˈteːm/,sys-taym
struktur,/ˈstrɵkːtɵr/,struk-tur
funktion,/fɵŋkˈɧuːn/,fuhngk-shuuhn
process,/prʊˈsɛs/,proo-ses
relation,/reˈlɑːɧuːn/,reh-laa-shuuhn
interaktion,/ɪntɛrakˈɧuːn/,in-teh-rak-shuuhn
nätverk,/ˈnɛːtværːk/,nayt-vaerk
komplexitet,/kɔmplɛksiˈteːt/,kom-plek-see-tee-tayt
enkelhet,/ˈɛŋkɛlheːt/,enk-el-hayt
ordning,/ˈuːɖnɪŋ/,uud-ning
kaos,/ˈkɑːʊs/,kaa-us
harmoni,/harˈmuːni/,har-moo-nee
konflikt,/kɔnˈfliːkːt/,kon-fleekt
samarbete,/ˈsɑːmˌarˌbeːtɛ/,saam-ar-bay-teh
konkurrens,/kɔŋˈkɵrːɛns/,kong-kuhr-rens
symbios,/sʏmˈbiːʊs/,sym-bee-us
parasitism,/parasɪˈtɪsm/,pah-rah-sih-tism
predation,/predaˈɧuːn/,preh-dah-shuuhn
mutualism,/myːtjuˈɑːlɪsm/,myuu-choo-aal-ism
neutralitet,/nøːtraliˈteːt/,nuh-trah-lee-tayt
beroende,/bɛruˈɛnːdɛ/,beh-roo-en-deh
oberoende,/ˈuːbɛˌruːɛnːdɛ/,oob-eh-roo-en-deh
autonomi,/ɔtɔˈnuːmi/,ah-toh-noo-mee
kontroll,/kɔnˈtrɔl/,kon-trol
inflytande,/ˈɪnːfˌlyːtɑnːdɛ/,in-flyu-tan-deh
makt,/makt/,makt
auktoritet,/ɔktɔriˈteːt/,ok-toh-ree-tayt
legitimitet,/leːdʒɪtɪmiˈteːt/,lay-ji-tee-mee-tayt
rättfärdighet,/ˈrɛtːfærːdɪheːt/,ret-fair-dih-hayt
skyldighet,/ˈɕʏlːdɪheːt/,shyl-dih-hayt
rätt,/rɛt/,ret
frihet,/ˈfriːheːt/,free-hayt
ansvar,/ˈanːsvɑːr/,aan-svaar
plikt,/plɪkːt/,plik-t
ära,/ˈæːrɑ/,ay-rah
värdighet,/ˈværːdɪheːt/,vair-dih-hayt
respekt,/rɛˈspɛkt/,reh-spekt
medkänsla,/ˈmeːdˌɕɛnːslɑ/,mayd-shen-slah
empathi,/ɛmˈpɑːti/,em-paa-tee
medlidande,/ˈmeːdˌliːdɑnːdɛ/,mayd-lee-dan-deh
